seconds,pressure,flow,insp,.dVol,volume,vent_RR,vent_rel_vt
0.0070285797119140625,6.117,-16.2215,677,-5.466099999999999,285.71071666666666,10,10
0.027019023895263672,6.0823,-15.8679,677,-5.348233333333333,280.36248333333333,10,10
0.04700946807861328,6.0823,-15.5143,677,-5.230366666666667,275.13211666666666,10,10
0.06699991226196289,6.0476,-15.2491,677,-5.127233333333333,270.00488333333334,10,10
0.0869903564453125,6.0129,-14.9839,677,-5.038833333333334,264.96605,10,10
0.10698080062866211,6.0129,-14.7187,677,-4.950433333333334,260.0156166666667,10,10
0.12697148323059082,6.0476,-14.5419,677,-4.876766666666667,255.13885,10,10
0.14696216583251953,6.0476,-14.3651,677,-4.817833333333334,250.32101666666668,10,10
0.16695261001586914,6.0476,-14.0999,677,-4.744166666666667,245.57685,10,10
0.18694305419921875,6.0129,-13.8347,677,-4.655766666666667,240.92108333333334,10,10
0.20693349838256836,6.0129,-13.4811,677,-4.552633333333333,236.36845,10,10
0.22692394256591797,5.9089,-12.8623,677,-4.3905666666666665,231.97788333333332,10,10
0.24691438674926758,5.8396,-12.1551,677,-4.169566666666666,227.80831666666668,10,10
0.2669048309326172,5.8049,-11.6247,677,-3.9633000000000003,223.84501666666668,10,10
0.2868955135345459,5.8049,-11.4479,677,-3.8454333333333333,219.99958333333333,10,10
0.3068859577178955,5.8396,-11.3595,677,-3.8012333333333337,216.19835,10,10
0.3268764019012451,5.9089,-11.3595,677,-3.7865,212.41185000000002,10,10
0.3468668460845947,6.0129,-11.3595,677,-3.7865,208.62535,10,10
0.36685729026794434,6.0476,-11.3595,677,-3.7865,204.83885,10,10
0.38684797286987305,6.0823,-11.2711,677,-3.7717666666666667,201.06708333333333,10,10
0.40683841705322266,6.0823,-11.1827,677,-3.7423,197.32478333333333,10,10
0.42682886123657227,6.0823,-11.0059,677,-3.6981,193.62668333333335,10,10
0.446819543838501,6.0823,-11.0059,677,-3.668633333333333,189.95805000000001,10,10
0.4668099880218506,6.0476,-10.9175,677,-3.6539,186.30415,10,10
0.4868004322052002,5.9783,-10.6523,677,-3.594966666666667,182.70918333333333,10,10
0.5067908763885498,5.9089,-10.4755,677,-3.5213,179.18788333333333,10,10
0.5267813205718994,5.8396,-10.2987,677,-3.462366666666667,175.72551666666666,10,10
0.546771764755249,5.8049,-10.2103,677,-3.4181666666666666,172.30735,10,10
0.5667622089385986,5.7355,-10.0335,677,-3.373966666666667,168.93338333333332,10,10
0.5867528915405273,5.7009,-9.7683,677,-3.3003,165.63308333333333,10,10
0.606743335723877,5.6662,-9.6799,677,-3.241366666666667,162.39171666666667,10,10
0.6267340183258057,5.6662,-9.6799,677,-3.226633333333333,159.16508333333334,10,10
0.6467244625091553,5.6662,-9.5031,677,-3.1971666666666665,155.96791666666667,10,10
0.6667149066925049,5.6662,-9.4147,677,-3.152966666666667,152.81495,10,10
0.6867053508758545,5.6315,-9.3263,677,-3.1235,149.69145,10,10
0.7066957950592041,5.5968,-9.2379,677,-3.094033333333333,146.59741666666667,10,10
0.7266864776611328,5.5621,-9.2379,677,-3.0793,143.51811666666666,10,10
0.7466769218444824,5.5275,-9.2379,677,-3.0793,140.43881666666667,10,10
0.766667366027832,5.4928,-9.0611,677,-3.0498333333333334,137.38898333333333,10,10
0.7866578102111816,5.4928,-9.0611,677,-3.020366666666667,134.36861666666667,10,10
0.8066482543945312,5.4581,-8.9726,677,-3.0056166666666666,131.363,10,10
0.8266386985778809,5.4581,-8.8842,677,-2.9761333333333333,128.38686666666666,10,10
0.8466291427612305,5.4581,-8.7958,677,-2.9466666666666663,125.4402,10,10
0.8666198253631592,5.4234,-8.7958,677,-2.9319333333333333,122.50826666666667,10,10
0.8866105079650879,5.4234,-8.619,677,-2.9024666666666663,119.6058,10,10
0.9066009521484375,5.4234,-8.4422,677,-2.8435333333333332,116.76226666666666,10,10
0.9265913963317871,5.4234,-8.177,677,-2.7698666666666667,113.9924,10,10
0.9465818405151367,5.4234,-8.0886,677,-2.710933333333333,111.28146666666667,10,10
0.9665722846984863,5.4234,-7.9118,677,-2.666733333333333,108.61473333333333,10,10
0.9865627288818359,5.3888,-7.735,677,-2.6078,106.00693333333334,10,10
1.0065531730651855,5.3888,-7.4698,677,-2.534133333333333,103.4728,10,10
1.0265438556671143,5.3541,-7.293,677,-2.4604666666666666,101.01233333333333,10,10
1.0465342998504639,5.3541,-7.2046,677,-2.4162666666666666,98.59606666666667,10,10
1.0665247440338135,5.3541,-7.1162,677,-2.3868,96.20926666666666,10,10
1.086515188217163,5.3541,-7.0278,677,-2.357333333333333,93.85193333333333,10,10
1.1065056324005127,5.3194,-6.9394,677,-2.3278666666666665,91.52406666666667,10,10
1.1264963150024414,5.3194,-6.851,677,-2.2984,89.22566666666667,10,10
1.146486759185791,5.3541,-6.7626,677,-2.2689333333333335,86.95673333333333,10,10
1.1664774417877197,5.3541,-6.7626,677,-2.2542,84.70253333333334,10,10
1.1864678859710693,5.2847,-6.4974,677,-2.21,82.49253333333334,10,10
1.206458330154419,5.1807,-5.7902,677,-2.0479333333333334,80.44460000000001,10,10
1.2264487743377686,5.1114,-4.9062,677,-1.7827333333333333,78.66186666666667,10,10
1.2464392185211182,5.1114,-4.3758,677,-1.5470000000000002,77.11486666666667,10,10
1.2664296627044678,5.146,-4.199,677,-1.4291333333333334,75.68573333333333,10,10
1.2864201068878174,5.1807,-4.199,677,-1.3996666666666666,74.28606666666667,10,10
1.306410789489746,5.2154,-4.3758,677,-1.4291333333333334,72.85693333333333,10,10
