seconds,ABP,vent_RR,vent_rel_vt
0.0027060508728027344,56.5625,10,10
0.010705947875976562,56.3125,10,10
0.018706083297729492,56.0,10,10
0.02670598030090332,55.75,10,10
0.03470611572265625,55.5,10,10
0.04270601272583008,55.25,10,10
0.050705909729003906,55.0625,10,10
0.058706045150756836,54.875,10,10
0.06670594215393066,54.6875,10,10
0.0747060775756836,54.5625,10,10
0.08270597457885742,54.375,10,10
0.09070611000061035,54.25,10,10
0.09870600700378418,54.125,10,10
0.10670590400695801,54.0,10,10
0.11470603942871094,53.875,10,10
0.12270593643188477,53.8125,10,10
0.1307060718536377,53.6875,10,10
0.13870596885681152,53.5625,10,10
0.14670610427856445,53.4375,10,10
0.15470600128173828,53.3125,10,10
0.1627058982849121,53.1875,10,10
0.17070603370666504,53.0,10,10
0.17870593070983887,52.875,10,10
0.1867060661315918,52.75,10,10
0.19470596313476562,52.625,10,10
0.20270609855651855,52.4375,10,10
0.21070599555969238,52.25,10,10
0.2187058925628662,52.0625,10,10
0.22670602798461914,51.875,10,10
0.23470592498779297,51.6875,10,10
0.2427060604095459,51.5625,10,10
0.2507059574127197,51.8125,10,10
0.25870609283447266,52.75,10,10
0.2667059898376465,55.0,10,10
0.2747058868408203,59.1875,10,10
0.28270602226257324,65.8125,10,10
0.29070591926574707,74.9375,10,10
0.2987060546875,86.1875,10,10
0.30670595169067383,98.6875,10,10
0.31470608711242676,111.3125,10,10
0.3227059841156006,122.875,10,10
0.3307058811187744,132.625,10,10
0.33870601654052734,140.0,10,10
0.34670591354370117,144.8125,10,10
0.3547060489654541,146.875,10,10
0.36270594596862793,146.4375,10,10
0.37070608139038086,143.8125,10,10
0.3787059783935547,139.5,10,10
0.3867061138153076,134.125,10,10
0.39470601081848145,128.125,10,10
0.4027059078216553,122.0,10,10
0.4107060432434082,116.125,10,10
0.41870594024658203,110.75,10,10
0.42670607566833496,105.9375,10,10
0.4347059726715088,101.6875,10,10
0.4427061080932617,97.9375,10,10
0.45070600509643555,94.625,10,10
0.4587059020996094,91.5625,10,10
0.4667060375213623,88.6875,10,10
0.47470593452453613,85.875,10,10
0.48270606994628906,83.0625,10,10
0.4907059669494629,80.25,10,10
0.4987061023712158,77.375,10,10
0.5067059993743896,74.5625,10,10
0.5147058963775635,71.9375,10,10
0.5227060317993164,69.5625,10,10
0.5307059288024902,67.625,10,10
0.5387060642242432,66.1875,10,10
0.546705961227417,65.1875,10,10
0.5547060966491699,64.6875,10,10
0.5627059936523438,64.5625,10,10
0.5707058906555176,64.8125,10,10
0.5787060260772705,65.3125,10,10
0.5867059230804443,66.0,10,10
0.5947060585021973,66.875,10,10
0.6027059555053711,67.8125,10,10
0.610706090927124,68.8125,10,10
0.6187059879302979,69.875,10,10
0.6267058849334717,70.9375,10,10
0.6347060203552246,71.9375,10,10
0.6427059173583984,72.9375,10,10
0.6507060527801514,73.75,10,10
0.6587059497833252,74.4375,10,10
0.6667060852050781,74.9375,10,10
0.674705982208252,75.25,10,10
0.6827061176300049,75.3125,10,10
0.6907060146331787,75.1875,10,10
0.6987059116363525,74.8125,10,10
0.7067060470581055,74.3125,10,10
0.7147059440612793,73.75,10,10
0.7227060794830322,73.0625,10,10
0.730705976486206,72.375,10,10
0.738706111907959,71.625,10,10
0.7467060089111328,70.9375,10,10
0.7547059059143066,70.1875,10,10
0.7627060413360596,69.4375,10,10
0.7707059383392334,68.75,10,10
0.7787060737609863,68.0625,10,10
0.7867059707641602,67.3125,10,10
0.7947061061859131,66.625,10,10
0.8027060031890869,65.9375,10,10
0.8107059001922607,65.1875,10,10
0.8187060356140137,64.5,10,10
0.8267059326171875,63.8125,10,10
0.8347060680389404,63.125,10,10
0.8427059650421143,62.4375,10,10
0.8507061004638672,61.8125,10,10
0.858705997467041,61.1875,10,10
0.8667058944702148,60.625,10,10
0.8747060298919678,60.0625,10,10
0.8827059268951416,59.5625,10,10
0.8907060623168945,59.0625,10,10
0.8987059593200684,58.5625,10,10
0.9067060947418213,58.125,10,10
0.9147059917449951,57.75,10,10
0.922705888748169,57.375,10,10
0.9307060241699219,57.0,10,10
0.9387059211730957,56.6875,10,10
0.9467060565948486,56.375,10,10
0.954704999923706,56.0625,10,10
0.9627048969268799,55.8125,10,10
0.9707050323486328,55.5,10,10
0.9787049293518066,55.3125,10,10
0.9867050647735596,55.0625,10,10
0.9947049617767334,54.875,10,10
1.0027050971984863,54.6875,10,10
1.0107049942016602,54.4375,10,10
1.018704891204834,54.25,10,10
1.026705026626587,54.0625,10,10
1.0347049236297607,53.875,10,10
1.0427050590515137,53.6875,10,10
1.0507049560546875,53.5625,10,10
1.0587050914764404,53.375,10,10
1.0667049884796143,53.25,10,10
1.074704885482788,53.1875,10,10
1.082705020904541,53.0625,10,10
